Sample	in_pv_10
PH0086-C	True
PH0087-CW	False
PH0089-C	True
PH0090-CW	False
PH0096-CW	False
PH0098-C	True
PH0099-CW	False
PH0100-C	False
PH0177-C	True
PH0178-C	True
PH0180-C	True
PH0181-CW	False
PH0182-C	True
PH0184-C	True
PH0185-CW	False
PH0186-CW	False
PH0187-C	True
PH0188-C	True
PH0189-C	True
PH0190-C	True
PH0309-C	True
PH0310-C	True
PH0311-CW	False
PH0312-C	True
PH0313-C	True
PH0315-C	True
PH0316-C	True
PH0317-C	True
PH0318-C	True
PH0319-C	True
PH0320-C	True
PH1075-C	False
PH1076-C	False
PH1077-C	False
PH1078-C	True
PH1079-C	False
PH1080-C	False
PH1082-C	False
PH1083-C	False
PH1084-C	True
PH1109-C	True
PH1110-C	False
PH1111-C	True
PH1112-C	True
PH1113-C	True
PH1114-C	False
PH1115-C	True
PH1116-C	True
PH1117-C	True
PH1118-C	False
PH1119-C	True
PH1120-C	False
PH1121-C	True
PH1122-C	False
PH1123-C	False
PH1124-C	True
PH1125-C	True
PH1126-C	True
PH1127-C	False
PH1128-C	False
PH1129-C	False
PH1130-C	False
PH1131-C	True
PH1132-C	True
PH1133-C	True
PH1134-C	False
PH1135-C	True
PJ0004-C	True
PJ0005-C	True
PJ0006-C	True
PJ0006-CW	True
PJ0007-C	True
PJ0008-C	True
PJ0009-C	True
PJ0010-C	True
PJ0011-C	True
PJ0012-CW	False
PJ0012-Cx	True
PJ0013-C	True
PJ0014-C	False
PJ0016-C	True
PJ0017-C	False
PJ0018-C	True
PJ0019-CW	False
PJ0020-CW	False
PJ0021-CW	False
PJ0022-CW	False
PJ0024-C	False
PJ0025-C	True
PJ0026-CW	False
PJ0027-C	True
PJ0028-C	False
PJ0030-C	True
PJ0031-C	True
PJ0032-C	True
PJ0033-C	True
PJ0034-CW	False
PJ0034-CWx	False
PJ0035-C	True
PJ0036-CW	False
PJ0037-C	True
PJ0038-CW	False
PJ0038-Cx	True
PJ0041-C	True
PJ0042-C	True
PJ0043-C	True
PJ0044-CW	False
PJ0046-C	False
PJ0046-Cx	True
PJ0047-C	True
PJ0048-CW	False
PJ0049-C	True
PJ0052-CW	False
PJ0054-CW	False
PJ0054-Cx	True
PJ0055-C	True
PJ0056-CW	False
PJ0057-C	True
PJ0058-CW	False
PJ0059-C	True
PJ0060-C	True
PJ0061-CW	False
PJ0062-C	True
PJ0063-C	True
PJ0065-C	True
PJ0066-C	False
PJ0067-CW	False
PJ0067-CWx	False
PJ0068-C	True
PJ0069-CW	False
PJ0069-Cx	True
PJ0070-CW	False
PJ0070-Cx	True
PJ0071-C	True
PJ0072-C	True
PJ0073-C	False
PJ0074-C	True
PJ0075-CW	False
PJ0075-Cx	True
PJ0076-CW	False
PJ0077-CW	False
PJ0078-C	True
PJ0079-C	True
PJ0080-C	False
PJ0081-CW	False
PJ0082-C	True
PJ0083-C	True
PJ0084-CW	False
PJ0084-Cx	True
PJ0085-C	True
PJ0086-C	True
PJ0087-CW	False
PJ0088-Cx	True
PJ0089-CW	False
PJ0090-CW	False
PJ0090-Cx	True
PJ0091-CW	False
PJ0092-C	False
PJ0093-C	False
PJ0094-CW	False
PJ0096-C	False
PJ0097-C	True
PJ0098-C	True
PJ0099-C	True
PJ0100-CW	False
PJ0102-CW	False
PJ0102-CWx	False
PJ0103-CW	False
PJ0103-CWx	False
PJ0104-CW	False
PJ0106-CW	False
PJ0106-Cx	True
PJ0110-CW	False
PJ0111-CW	False
PJ0112-CW	False
PJ0113-CW	False
PJ0114-CW	False
PJ0117-CW	False
PJ0117-Cx	True
PJ0118-C	False
PJ0119-C	False
PJ0120-C	True
PJ0121-C	False
PJ0122-C	True
PJ0123-C	True
PJ0124-C	True
PJ0125-CW	False
PJ0126-C	False
PJ0127-CW	False
PJ0127-Cx	True
PJ0128-C	False
PJ0132-Cx	False
PJ0165-C	False
PJ0166-C	True
PJ0167-C	True
PJ0273-C	False
PJ0274-C	False
PJ0275-C	False
PJ0276-C	False
PJ0277-C	False
PJ0278-C	False
PJ0279-C	False
PJ0280-C	False
PJ0281-C	False
PJ0282-C	False
